timestamp_utc,profile,phase,elapsed_s,tctl_c,apuppt_w,freq_avg_mhz,freq_max_any_mhz,freq_min_any_mhz,policy_max_mhz,cpu_busy_pct,load1,thermal_throttle_count,bottleneck
2026-08-27T10:06:08Z,power-saver,one-core,0,40.9,4.46,1700.70,3767.77,419.42,3801.00,NA,1.38,0,policy-cap
2026-08-27T10:06:10Z,power-saver,one-core,2,42.6,6.96,1646.00,3767.98,419.42,3801.00,NA,1.43,0,policy-cap
2026-08-27T10:06:12Z,power-saver,one-core,4,43.1,7.32,1664.17,3767.52,419.42,3801.00,NA,1.43,0,policy-cap
2026-08-27T10:06:14Z,power-saver,one-core,6,43.1,7.53,1943.99,3766.09,419.42,3801.00,NA,1.48,0,policy-cap
2026-08-27T10:06:17Z,power-saver,one-core,9,43.2,7.32,1728.78,3768.09,419.42,3801.00,NA,1.48,0,policy-cap
2026-08-27T10:06:19Z,power-saver,one-core,11,43.1,7.19,1669.24,3767.74,419.42,3801.00,NA,1.52,0,policy-cap
2026-08-27T10:06:21Z,power-saver,one-core,13,43.2,7.39,1550.49,3767.98,419.42,3801.00,NA,1.52,0,policy-cap
2026-08-27T10:06:23Z,power-saver,one-core,15,43.2,7.33,1591.92,3768.08,419.42,3801.00,NA,1.52,0,policy-cap
2026-08-27T10:06:25Z,power-saver,one-core,17,43.2,7.59,2161.91,3768.19,419.42,3801.00,NA,1.56,0,policy-cap
2026-08-27T10:06:27Z,power-saver,one-core,19,43.2,7.37,1691.74,3768.12,419.42,3801.00,NA,1.56,0,policy-cap
2026-08-27T10:06:29Z,power-saver,one-core,21,43.2,7.26,2059.65,3767.48,419.42,3801.00,NA,1.59,0,policy-cap
2026-08-27T10:06:31Z,power-saver,one-core,23,43.2,7.45,1414.32,3768.14,419.42,3801.00,NA,1.59,0,policy-cap
2026-08-27T10:06:33Z,power-saver,one-core,25,43.2,7.30,1388.66,3768.22,419.42,3801.00,NA,1.59,0,policy-cap
2026-08-27T10:06:35Z,power-saver,one-core,27,43.1,7.52,1596.29,3768.12,419.42,3801.00,NA,1.63,0,policy-cap
2026-08-27T10:06:37Z,power-saver,one-core,29,43.2,7.54,1411.77,3768.12,419.42,3801.00,NA,1.63,0,policy-cap
2026-08-27T10:06:39Z,power-saver,one-core,31,43.2,7.35,1502.54,3767.18,419.42,3801.00,NA,1.66,0,policy-cap
2026-08-27T10:06:41Z,power-saver,one-core,33,43.2,7.59,1680.30,3768.09,419.42,3801.00,NA,1.66,0,policy-cap
2026-08-27T10:06:43Z,power-saver,one-core,35,43.2,7.44,2342.87,3765.74,419.42,3801.00,NA,1.66,0,policy-cap
2026-08-27T10:06:45Z,power-saver,one-core,37,43.2,7.80,1842.93,3769.46,419.42,3801.00,NA,1.69,0,policy-cap
2026-08-27T10:06:47Z,power-saver,one-core,39,43.2,7.52,1685.83,3770.01,419.42,3801.00,NA,1.69,0,policy-cap
2026-08-27T10:06:50Z,power-saver,one-core,41,43.1,7.38,2203.92,3766.88,419.42,3801.00,NA,1.71,0,policy-cap
2026-08-27T10:06:52Z,power-saver,one-core,44,43.2,7.62,3127.16,3768.62,1506.46,3801.00,NA,1.71,0,policy-cap
2026-08-27T10:06:54Z,power-saver,one-core,46,43.1,7.26,2082.52,3769.21,419.42,3801.00,NA,1.73,0,policy-cap
2026-08-27T10:06:56Z,power-saver,one-core,48,43.1,7.45,1599.08,3771.20,419.42,3801.00,NA,1.73,0,policy-cap
2026-08-27T10:06:58Z,power-saver,one-core,50,43.1,7.26,1779.21,3768.09,419.42,3801.00,NA,1.73,0,policy-cap
2026-08-27T10:07:00Z,power-saver,one-core,52,43.2,7.22,1807.13,3768.62,419.42,3801.00,NA,1.76,0,policy-cap
2026-08-27T10:07:02Z,power-saver,one-core,54,43.1,7.35,1946.31,3767.94,419.42,3801.00,NA,1.76,0,policy-cap
2026-08-27T10:07:04Z,power-saver,one-core,56,43.1,7.22,1769.73,3768.09,419.42,3801.00,NA,1.78,0,policy-cap
2026-08-27T10:07:06Z,power-saver,one-core,58,43.1,7.49,1899.80,3768.13,419.42,3801.00,NA,1.78,0,policy-cap
2026-08-27T10:07:08Z,power-saver,one-core,60,43.1,7.34,1837.14,3767.86,419.42,3801.00,NA,1.78,0,policy-cap
2026-08-27T10:07:10Z,power-saver,all-core,0,41.4,4.88,2192.46,3765.05,419.42,3801.00,NA,1.71,0,policy-cap
2026-08-27T10:07:12Z,power-saver,all-core,2,40.8,9.12,2042.91,2062.59,2029.59,3801.00,NA,1.71,0,policy-cap
2026-08-27T10:07:15Z,power-saver,all-core,4,40.5,9.85,2043.64,2062.87,1964.30,3801.00,NA,3.02,0,policy-cap
2026-08-27T10:07:17Z,power-saver,all-core,7,40.5,9.97,2081.84,2101.00,1977.54,3801.00,NA,3.02,0,policy-cap
2026-08-27T10:07:19Z,power-saver,all-core,9,40.6,9.99,2065.42,2069.64,2062.89,3801.00,NA,4.22,0,policy-cap
2026-08-27T10:07:21Z,power-saver,all-core,11,40.8,9.98,1959.61,2062.89,1705.02,3801.00,NA,4.22,0,policy-cap
2026-08-27T10:07:23Z,power-saver,all-core,13,40.8,9.99,2053.30,2062.91,2046.24,3801.00,NA,4.22,0,policy-cap
2026-08-27T10:07:26Z,power-saver,all-core,15,40.9,9.98,1478.34,1913.61,1397.43,3801.00,NA,5.40,0,policy-cap
2026-08-27T10:07:28Z,power-saver,all-core,18,41.0,9.99,1997.15,2062.91,1758.27,3801.00,NA,5.40,0,policy-cap
2026-08-27T10:07:30Z,power-saver,all-core,20,41.0,9.99,2049.68,2062.95,2038.85,3801.00,NA,6.41,0,policy-cap
2026-08-27T10:07:32Z,power-saver,all-core,22,41.0,9.98,2066.35,2079.54,2046.28,3801.00,NA,6.41,0,policy-cap
2026-08-27T10:07:35Z,power-saver,all-core,24,41.1,9.99,1869.68,2079.57,1397.41,3801.00,NA,7.26,0,policy-cap
2026-08-27T10:07:37Z,power-saver,all-core,27,41.1,10.00,2045.36,2046.30,2043.79,3801.00,NA,7.26,0,policy-cap
2026-08-27T10:07:39Z,power-saver,all-core,29,41.1,9.99,2104.59,2112.82,2053.04,3801.00,NA,8.20,0,policy-cap
