timestamp_utc,profile,phase,elapsed_s,tctl_c,apuppt_w,freq_avg_mhz,freq_max_any_mhz,freq_min_any_mhz,policy_max_mhz,cpu_busy_pct,load1,thermal_throttle_count,bottleneck
2026-08-27T11:23:29Z,sustained-build,one-core,0,58.2,34.76,3685.91,4815.78,1100.98,5137.90,NA,3.48,0,none-observed
2026-08-27T11:23:31Z,sustained-build,one-core,2,65.8,44.62,4592.80,4670.31,4576.11,5137.90,41.6,3.77,0,none-observed
2026-08-27T11:23:33Z,sustained-build,one-core,4,67.2,43.49,4538.94,4583.53,4425.95,5137.90,38.2,3.77,0,none-observed
2026-08-27T11:23:35Z,sustained-build,one-core,6,69.6,45.62,3930.27,4766.07,1100.98,5137.90,44.8,4.10,0,none-observed
2026-08-27T11:23:37Z,sustained-build,one-core,8,70.5,43.05,4524.32,4738.30,3159.46,5137.90,32.8,4.10,0,none-observed
2026-08-27T11:23:39Z,sustained-build,one-core,10,72.4,43.30,4403.08,4740.96,3187.92,5137.90,39.6,4.10,0,none-observed
2026-08-27T11:23:41Z,sustained-build,one-core,12,73.9,42.54,4069.31,4740.76,1100.98,5137.90,36.2,4.34,0,none-observed
2026-08-27T11:23:43Z,sustained-build,one-core,14,72.9,39.32,4357.87,4740.91,3150.41,5137.90,27.5,4.34,0,none-observed
2026-08-27T11:23:45Z,sustained-build,one-core,16,72.5,34.69,3417.71,4742.79,1100.98,5137.90,22.2,4.15,0,none-observed
2026-08-27T11:23:47Z,sustained-build,one-core,18,74.8,44.38,4426.49,4720.28,3765.32,5137.90,39.3,4.15,0,none-observed
2026-08-27T11:23:49Z,sustained-build,one-core,20,76.1,45.54,4472.51,4717.75,3763.64,5137.90,40.7,4.15,0,none-observed
2026-08-27T11:23:51Z,sustained-build,one-core,22,76.5,40.61,4007.58,4739.74,1100.98,5137.90,36.2,4.14,0,none-observed
2026-08-27T11:23:53Z,sustained-build,one-core,24,76.8,40.27,4319.56,4692.04,1100.98,5137.90,30.0,4.14,0,none-observed
2026-08-27T11:23:55Z,sustained-build,one-core,26,78.2,46.13,4466.84,4714.53,3753.70,5137.90,47.5,4.21,0,none-observed
2026-08-27T11:23:57Z,sustained-build,one-core,28,77.4,40.58,4043.78,4697.83,1100.98,5137.90,31.5,4.21,0,none-observed
2026-08-27T11:23:59Z,sustained-build,one-core,30,80.1,48.65,4438.33,4439.25,4437.45,5137.90,54.6,4.21,0,none-observed
2026-08-27T11:24:01Z,sustained-build,one-core,32,80.1,46.09,4679.81,4687.78,4653.33,5137.90,42.2,4.19,0,none-observed
2026-08-27T11:24:03Z,sustained-build,one-core,34,77.9,32.84,2559.51,4766.19,1100.98,5137.90,29.0,4.19,0,none-observed
2026-08-27T11:24:05Z,sustained-build,one-core,36,74.9,21.99,3630.32,4740.76,1100.98,5137.90,8.0,4.09,0,none-observed
2026-08-27T11:24:07Z,sustained-build,one-core,38,72.9,19.52,2635.15,4747.59,1100.98,5137.90,8.4,4.09,0,none-observed
2026-08-27T11:24:09Z,sustained-build,one-core,40,71.5,19.20,2781.61,4755.65,1100.98,5137.90,7.8,3.93,0,none-observed
2026-08-27T11:24:12Z,sustained-build,one-core,42,70.8,19.40,2911.15,4765.49,1100.98,5137.90,8.4,3.93,0,none-observed
2026-08-27T11:24:14Z,sustained-build,one-core,45,69.9,18.84,3730.92,4766.27,3123.99,5137.90,7.4,3.93,0,none-observed
2026-08-27T11:24:16Z,sustained-build,one-core,47,68.9,18.64,3167.77,4766.29,1100.98,5137.90,7.5,3.77,0,none-observed
2026-08-27T11:24:18Z,sustained-build,one-core,49,68.2,18.79,2887.95,4766.19,1100.98,5137.90,7.6,3.77,0,none-observed
2026-08-27T11:24:20Z,sustained-build,one-core,51,67.6,18.62,2588.30,4765.06,1100.98,5137.90,7.5,3.63,0,none-observed
2026-08-27T11:24:22Z,sustained-build,one-core,53,67.5,19.06,2772.66,4769.82,1100.98,5137.90,8.3,3.63,0,none-observed
2026-08-27T11:24:24Z,sustained-build,one-core,55,66.8,18.41,2453.23,4766.24,1100.98,5137.90,7.3,3.63,0,none-observed
2026-08-27T11:24:26Z,sustained-build,one-core,57,66.5,18.57,3322.06,4766.07,1100.98,5137.90,7.5,3.50,0,none-observed
2026-08-27T11:24:28Z,sustained-build,one-core,59,66.2,18.29,2793.62,4775.08,1100.98,5137.90,7.3,3.50,0,none-observed
2026-08-27T11:24:32Z,sustained-build,all-core,0,54.1,10.31,2967.24,4840.27,1100.98,5137.90,NA,3.30,0,none-observed
2026-08-27T11:24:34Z,sustained-build,all-core,2,70.8,46.16,4441.73,4441.92,4441.61,5137.90,99.9,3.30,0,none-observed
2026-08-27T11:24:36Z,sustained-build,all-core,4,75.2,52.68,4555.69,4566.68,4531.55,5137.90,100.0,4.40,0,none-observed
2026-08-27T11:24:38Z,sustained-build,all-core,6,77.5,53.77,4441.70,4441.93,4439.69,5137.90,100.0,4.40,0,none-observed
2026-08-27T11:24:40Z,sustained-build,all-core,8,76.9,48.71,4200.75,4217.30,4194.45,5137.90,100.0,5.57,0,none-observed
2026-08-27T11:24:43Z,sustained-build,all-core,10,75.4,45.64,4235.25,4242.30,4228.06,5137.90,100.0,5.57,0,none-observed
2026-08-27T11:24:45Z,sustained-build,all-core,13,75.4,45.12,4317.00,4317.21,4315.26,5137.90,100.0,6.56,0,none-observed
2026-08-27T11:24:47Z,sustained-build,all-core,15,75.8,45.02,4338.55,4342.09,4315.85,5137.90,100.0,6.56,0,none-observed
2026-08-27T11:24:49Z,sustained-build,all-core,17,76.4,45.01,4295.46,4312.82,4292.13,5137.90,100.0,6.56,0,none-observed
2026-08-27T11:24:51Z,sustained-build,all-core,19,77.1,45.05,4207.33,4217.34,4177.08,5137.90,100.0,7.48,0,none-observed
2026-08-27T11:24:53Z,sustained-build,all-core,21,77.2,45.00,4349.29,4367.02,4342.02,5137.90,100.0,7.48,0,none-observed
2026-08-27T11:24:55Z,sustained-build,all-core,23,77.5,45.00,4293.90,4296.16,4292.12,5137.90,100.0,8.32,0,none-observed
2026-08-27T11:24:57Z,sustained-build,all-core,25,77.6,45.05,4272.10,4292.47,4252.11,5137.90,100.0,8.32,0,none-observed
2026-08-27T11:25:00Z,sustained-build,all-core,27,77.6,44.99,4366.90,4367.07,4366.07,5137.90,100.0,9.10,0,none-observed
2026-08-27T11:25:02Z,sustained-build,all-core,30,77.5,44.99,4341.69,4341.96,4341.43,5137.90,100.0,9.10,0,none-observed
2026-08-27T11:25:04Z,sustained-build,all-core,32,77.5,45.00,4333.34,4342.13,4324.76,5137.90,100.0,9.10,0,none-observed
2026-08-27T11:25:06Z,sustained-build,all-core,34,77.5,45.02,4282.35,4292.21,4266.27,5137.90,100.0,9.73,0,none-observed
2026-08-27T11:25:08Z,sustained-build,all-core,36,77.6,45.06,4208.12,4217.36,4187.86,5137.90,99.9,9.73,0,none-observed
2026-08-27T11:25:10Z,sustained-build,all-core,38,77.8,45.00,4285.95,4292.20,4281.97,5137.90,100.0,10.55,0,none-observed
2026-08-27T11:25:12Z,sustained-build,all-core,40,77.8,45.00,4342.08,4342.14,4342.04,5137.90,100.0,10.55,0,none-observed
2026-08-27T11:25:15Z,sustained-build,all-core,43,77.6,45.02,4342.10,4342.13,4342.06,5137.90,100.0,11.23,0,none-observed
2026-08-27T11:25:17Z,sustained-build,all-core,45,77.8,44.99,4318.64,4341.75,4317.07,5137.90,100.0,11.23,0,none-observed
2026-08-27T11:25:19Z,sustained-build,all-core,47,77.9,45.00,4317.11,4317.16,4317.06,5137.90,100.0,11.23,0,none-observed
2026-08-27T11:25:21Z,sustained-build,all-core,49,77.9,45.01,4261.02,4266.36,4238.91,5137.90,100.0,11.77,0,none-observed
2026-08-27T11:25:23Z,sustained-build,all-core,51,78.0,45.04,4240.17,4242.29,4235.53,5137.90,100.0,11.77,0,none-observed
2026-08-27T11:25:25Z,sustained-build,all-core,53,78.0,45.03,4291.71,4292.09,4291.22,5137.90,100.0,12.19,0,none-observed
2026-08-27T11:25:27Z,sustained-build,all-core,55,78.0,44.99,4343.11,4365.58,4341.04,5137.90,100.0,12.19,0,none-observed
2026-08-27T11:25:30Z,sustained-build,all-core,57,78.0,44.98,4334.25,4342.13,4300.07,5137.90,100.0,12.58,0,none-observed
2026-08-27T11:25:32Z,sustained-build,all-core,60,78.1,44.99,4367.02,4367.07,4366.94,5137.90,100.0,12.58,0,none-observed
2026-08-27T11:25:34Z,sustained-build,all-core,62,78.4,44.99,4367.03,4367.08,4366.98,5137.90,100.0,12.58,0,none-observed
2026-08-27T11:25:36Z,sustained-build,all-core,64,78.4,45.02,4269.30,4276.22,4267.27,5137.90,100.0,13.01,0,none-observed
2026-08-27T11:25:38Z,sustained-build,all-core,66,78.4,45.00,4341.86,4342.07,4341.75,5137.90,100.0,13.01,0,none-observed
