timestamp_utc	profile	phase	elapsed_s	cpu_temp_c	gpu_temp_c	amdgpu_power_w	freq_avg_mhz	policy_max_mhz	hardware_max_mhz	load1	thermal_throttle_count
2026-09-20T10:15:03Z	performance	cooldown-before	0	40.1	38.0	7.821	2919.88	3200.00	5137.90	4.47	NA
2026-09-20T10:15:03Z	performance	one-core	0	40.1	38.0	7.927	2919.90	3200.00	5137.90	4.47	NA
2026-09-20T10:15:05Z	performance	one-core	2	40.8	38.0	8.655	2794.84	3200.00	5137.90	4.47	NA
2026-09-20T10:15:07Z	performance	one-core	4	41.0	38.0	8.763	2536.11	3200.00	5137.90	4.35	NA
2026-09-20T10:15:09Z	performance	one-core	6	41.0	38.0	8.803	2277.30	3200.00	5137.90	4.35	NA
2026-09-20T10:15:11Z	performance	one-core	8	41.4	38.0	9.889	3061.22	3200.00	5137.90	4.32	NA
2026-09-20T10:15:13Z	performance	one-core	10	41.2	38.0	9.012	2669.53	3200.00	5137.90	4.32	NA
2026-09-20T10:15:15Z	performance	one-core	12	41.2	38.0	9.078	2537.28	3200.00	5137.90	4.32	NA
2026-09-20T10:15:17Z	performance	one-core	14	41.4	39.0	9.101	2666.54	3200.00	5137.90	4.06	NA
2026-09-20T10:15:19Z	performance	one-core	16	41.2	38.0	8.624	2930.70	3200.00	5137.90	4.06	NA
2026-09-20T10:15:21Z	performance	one-core	18	41.4	38.0	9.354	2666.76	3200.00	5137.90	4.29	NA
2026-09-20T10:15:23Z	performance	one-core	20	41.5	39.0	9.185	2668.08	3200.00	5137.90	4.29	NA
2026-09-20T10:15:25Z	performance	one-core	22	41.5	38.0	9.081	2668.88	3200.00	5137.90	4.29	NA
2026-09-20T10:15:27Z	performance	one-core	24	41.4	38.0	9.127	2930.00	3200.00	5137.90	4.11	NA
2026-09-20T10:15:29Z	performance	one-core	26	41.4	39.0	8.910	2798.01	3200.00	5137.90	4.11	NA
2026-09-20T10:15:31Z	performance	one-core	28	41.6	39.0	9.588	2797.38	3200.00	5137.90	4.02	NA
2026-09-20T10:15:33Z	performance	one-core	30	41.6	38.0	9.416	2928.69	3200.00	5137.90	4.02	NA
2026-09-20T10:15:36Z	performance	one-core	32	41.6	38.0	8.916	2792.76	3200.00	5137.90	4.02	NA
2026-09-20T10:15:38Z	performance	one-core	35	41.6	39.0	8.964	3057.34	3200.00	5137.90	3.86	NA
